Algorithm,Cycle,Waypoint,Waypoint_coords,Status,Time Taken (s),Path Length (m),Replans
Dijkstra,1,1,"(1.29,-3.45,0.0)",SUCCEEDED,50.74,20.3,47
Dijkstra,1,2,"(4.44,5.64,0.0)",SUCCEEDED,48.18,16.6,45
Dijkstra,2,1,"(1.29,-3.45,0.0)",SUCCEEDED,49.71,20.36,47
Dijkstra,2,2,"(4.44,5.64,0.0)",SUCCEEDED,46.65,16.55,44
Dijkstra,3,1,"(1.29,-3.45,0.0)",SUCCEEDED,55.56,20.32,51
Dijkstra,3,2,"(4.44,5.64,0.0)",SUCCEEDED,49.54,16.55,47
Dijkstra,4,1,"(1.29,-3.45,0.0)",SUCCEEDED,56.51,20.49,52
Dijkstra,4,2,"(4.44,5.64,0.0)",SUCCEEDED,87.4,17.02,69
Dijkstra,5,1,"(1.29,-3.45,0.0)",SUCCEEDED,54.56,20.43,53
Dijkstra,5,2,"(4.44,5.64,0.0)",SUCCEEDED,48.71,16.43,46
Dijkstra,6,1,"(1.29,-3.45,0.0)",SUCCEEDED,55.39,20.41,53
Dijkstra,6,2,"(4.44,5.64,0.0)",SUCCEEDED,49.01,16.51,46
Dijkstra,7,1,"(1.29,-3.45,0.0)",SUCCEEDED,55.62,20.3,53
Dijkstra,7,2,"(4.44,5.64,0.0)",SUCCEEDED,46.66,16.62,44
Dijkstra,8,1,"(1.29,-3.45,0.0)",SUCCEEDED,56.71,20.49,53
Dijkstra,8,2,"(4.44,5.64,0.0)",SUCCEEDED,54.85,16.6,52
Dijkstra,9,1,"(1.29,-3.45,0.0)",SUCCEEDED,57.54,20.47,55
Dijkstra,9,2,"(4.44,5.64,0.0)",SUCCEEDED,49.89,16.95,48
Dijkstra,10,1,"(1.29,-3.45,0.0)",SUCCEEDED,57.25,20.27,55
Dijkstra,10,2,"(4.44,5.64,0.0)",SUCCEEDED,52.81,16.79,51
A*,1,1,"(1.29,-3.45,0.0)",SUCCEEDED,49.04,20.32,46
A*,1,2,"(4.44,5.64,0.0)",SUCCEEDED,55.69,16.55,50
A*,2,1,"(1.29,-3.45,0.0)",FAILED,75.62,17.71,50
A*,2,2,"(4.44,5.64,0.0)",SUCCEEDED,68.01,19.82,62
A*,3,1,"(1.29,-3.45,0.0)",SUCCEEDED,58.83,20.34,55
A*,3,2,"(4.44,5.64,0.0)",SUCCEEDED,56.24,16.47,54
A*,4,1,"(1.29,-3.45,0.0)",SUCCEEDED,55.19,20.33,50
A*,4,2,"(4.44,5.64,0.0)",SUCCEEDED,47.02,16.72,44
A*,5,1,"(1.29,-3.45,0.0)",FAILED,74.01,17.95,52
A*,5,2,"(4.44,5.64,0.0)",SUCCEEDED,56.87,20.22,54
A*,6,1,"(1.29,-3.45,0.0)",SUCCEEDED,51.93,20.24,46
A*,6,2,"(4.44,5.64,0.0)",SUCCEEDED,61.03,16.74,58
A*,7,1,"(1.29,-3.45,0.0)",SUCCEEDED,97.78,21.27,74
A*,7,2,"(4.44,5.64,0.0)",SUCCEEDED,45.29,16.76,42
A*,8,1,"(1.29,-3.45,0.0)",SUCCEEDED,92.6,21.41,68
A*,8,2,"(4.44,5.64,0.0)",SUCCEEDED,61.04,16.5,50
A*,9,1,"(1.29,-3.45,0.0)",SUCCEEDED,67.06,20.4,55
A*,9,2,"(4.44,5.64,0.0)",SUCCEEDED,55.59,16.56,53
A*,10,1,"(1.29,-3.45,0.0)",SUCCEEDED,72.94,21.05,59
A*,10,2,"(4.44,5.64,0.0)",SUCCEEDED,47.72,16.78,44
Hybrid,1,1,"(1.29,-3.45,0.0)",SUCCEEDED,56.49,19.73,51
Hybrid,1,2,"(4.44,5.64,0.0)",SUCCEEDED,44.79,16.5,40
Hybrid,2,1,"(1.29,-3.45,0.0)",SUCCEEDED,57.68,19.6,53
Hybrid,2,2,"(4.44,5.64,0.0)",SUCCEEDED,44.59,16.5,41
Hybrid,3,1,"(1.29,-3.45,0.0)",SUCCEEDED,57.0,19.77,53
Hybrid,3,2,"(4.44,5.64,0.0)",SUCCEEDED,43.47,16.21,40
Hybrid,4,1,"(1.29,-3.45,0.0)",SUCCEEDED,57.84,19.52,54
Hybrid,4,2,"(4.44,5.64,0.0)",SUCCEEDED,43.16,16.45,41
Hybrid,5,1,"(1.29,-3.45,0.0)",SUCCEEDED,57.12,19.46,54
Hybrid,5,2,"(4.44,5.64,0.0)",SUCCEEDED,42.98,16.41,40
Hybrid,6,1,"(1.29,-3.45,0.0)",SUCCEEDED,57.02,19.6,54
Hybrid,6,2,"(4.44,5.64,0.0)",SUCCEEDED,42.75,16.4,39
Hybrid,7,1,"(1.29,-3.45,0.0)",SUCCEEDED,59.04,19.46,55
Hybrid,7,2,"(4.44,5.64,0.0)",SUCCEEDED,44.32,16.47,41
Hybrid,8,1,"(1.29,-3.45,0.0)",SUCCEEDED,57.23,19.36,54
Hybrid,8,2,"(4.44,5.64,0.0)",SUCCEEDED,44.26,16.64,41
Hybrid,9,1,"(1.29,-3.45,0.0)",SUCCEEDED,62.72,19.83,58
Hybrid,9,2,"(4.44,5.64,0.0)",FAILED,5.82,0.71,5
Hybrid,10,1,"(1.29,-3.45,0.0)",SUCCEEDED,51.58,19.51,48
Hybrid,10,2,"(4.44,5.64,0.0)",SUCCEEDED,42.23,16.43,39
