Algorithm,Cycle,Waypoint,Goal_X,Goal_Y,Status,Time_Seconds,Path_Length_Meters,Replans,Notes
Dijkstra,1,1,3.06,1.24,SUCCEEDED,11.20,3.30,10,
Dijkstra,1,2,4.96,0.0,SUCCEEDED,19.80,4.25,19,
Dijkstra,1,3,-2.53,-2.44,SUCCEEDED,37.61,9.64,36,
Dijkstra,1,4,-1.97,-2.4,SUCCEEDED,2.25,0.37,2,
Dijkstra,2,1,3.06,1.24,SUCCEEDED,11.79,3.26,11,
Dijkstra,2,2,4.96,0.0,SUCCEEDED,100.34,4.39,75,
Dijkstra,2,3,-2.53,-2.44,SUCCEEDED,49.92,9.63,37,
Dijkstra,2,4,-1.97,-2.4,SUCCEEDED,2.36,0.40,3,
Dijkstra,3,1,3.06,1.24,SUCCEEDED,11.56,3.25,11,
Dijkstra,3,2,4.96,0.0,SUCCEEDED,20.82,4.25,20,
Dijkstra,3,3,-2.53,-2.44,SUCCEEDED,44.74,9.49,43,
Dijkstra,3,4,-1.97,-2.4,SUCCEEDED,2.30,0.39,2,
Dijkstra,4,1,3.06,1.24,SUCCEEDED,11.25,3.25,10,
Dijkstra,4,2,4.96,0.0,SUCCEEDED,19.81,4.24,19,
Dijkstra,4,3,-2.53,-2.44,SUCCEEDED,35.79,9.68,34,
Dijkstra,4,4,-1.97,-2.4,SUCCEEDED,2.30,0.39,2,
Dijkstra,5,1,3.06,1.24,SUCCEEDED,11.16,3.25,10,
Dijkstra,5,2,4.96,0.0,SUCCEEDED,53.01,4.37,41,
Dijkstra,5,3,-2.53,-2.44,SUCCEEDED,64.28,9.58,62,
Dijkstra,5,4,-1.97,-2.4,SUCCEEDED,2.10,0.38,2,
Dijkstra,6,1,3.06,1.24,SUCCEEDED,12.00,3.48,11,
Dijkstra,6,2,4.96,0.0,SUCCEEDED,37.93,4.85,19,
Dijkstra,6,3,-2.53,-2.44,SUCCEEDED,35.36,9.73,34,
Dijkstra,6,4,-1.97,-2.4,SUCCEEDED,2.08,0.33,1,
Dijkstra,7,1,3.06,1.24,SUCCEEDED,11.77,3.26,11,
Dijkstra,7,2,4.96,0.0,SUCCEEDED,104.33,4.31,82,
Dijkstra,7,3,-2.53,-2.44,SUCCEEDED,36.20,9.61,34,
