Algorithm,Cycle,Waypoint,Goal_X,Goal_Y,Status,Time_Taken_s,Path_Length_m,Replans
Dijkstra,1,1,-1.5,-2.45,SUCCEEDED,61.57,18.25,60
Dijkstra,1,2,3.2,4.0,SUCCEEDED,52.65,12.92,51
Dijkstra,2,1,-1.5,-2.45,SUCCEEDED,62.91,18.13,61
Dijkstra,2,2,3.2,4.0,SUCCEEDED,51.96,12.79,50
Dijkstra,3,1,-1.5,-2.45,SUCCEEDED,67.09,18.36,65
Dijkstra,3,2,3.2,4.0,SUCCEEDED,52.21,12.93,51
Dijkstra,4,1,-1.5,-2.45,SUCCEEDED,93.34,18.73,90
Dijkstra,4,2,3.2,4.0,SUCCEEDED,55.88,12.91,54
Dijkstra,5,1,-1.5,-2.45,SUCCEEDED,64.10,18.15,62
Dijkstra,5,2,3.2,4.0,SUCCEEDED,54.96,12.97,53
Dijkstra,6,1,-1.5,-2.45,SUCCEEDED,64.33,18.16,63
Dijkstra,6,2,3.2,4.0,SUCCEEDED,53.05,12.95,52
Dijkstra,7,1,-1.5,-2.45,SUCCEEDED,62.47,18.07,61
Dijkstra,7,2,3.2,4.0,SUCCEEDED,65.59,13.69,64
Dijkstra,8,1,-1.5,-2.45,SUCCEEDED,66.46,18.39,64
Dijkstra,8,2,3.2,4.0,SUCCEEDED,55.61,12.82,54
Dijkstra,9,1,-1.5,-2.45,SUCCEEDED,66.57,18.09,64
Dijkstra,9,2,3.2,4.0,SUCCEEDED,52.40,12.93,51
Dijkstra,10,1,-1.5,-2.45,SUCCEEDED,63.45,18.06,61
Dijkstra,10,2,3.2,4.0,SUCCEEDED,52.50,12.88,51

A*,1,1,-1.5,-2.45,SUCCEEDED,62.92,18.45,61
A*,1,2,3.2,4.0,SUCCEEDED,48.15,12.55,47
A*,2,1,-1.5,-2.45,SUCCEEDED,66.09,18.36,64
A*,2,2,3.2,4.0,SUCCEEDED,51.30,12.81,50
A*,3,1,-1.5,-2.45,SUCCEEDED,75.03,18.43,67
A*,3,2,3.2,4.0,SUCCEEDED,50.65,12.80,49
A*,4,1,-1.5,-2.45,SUCCEEDED,75.84,18.44,68
A*,4,2,3.2,4.0,SUCCEEDED,51.46,12.86,51
A*,5,1,-1.5,-2.45,SUCCEEDED,64.98,18.16,61
A*,5,2,3.2,4.0,SUCCEEDED,49.46,12.62,48
A*,6,1,-1.5,-2.45,SUCCEEDED,72.39,18.70,68
A*,6,2,3.2,4.0,SUCCEEDED,70.16,12.74,68
A*,7,1,-1.5,-2.45,SUCCEEDED,65.02,18.16,61
A*,7,2,3.2,4.0,SUCCEEDED,116.10,15.22,104
A*,8,1,-1.5,-2.45,SUCCEEDED,68.22,18.31,65
A*,8,2,3.2,4.0,SUCCEEDED,53.43,12.94,52
A*,9,1,-1.5,-2.45,SUCCEEDED,87.88,18.68,74
A*,9,2,3.2,4.0,SUCCEEDED,67.15,12.78,65
A*,10,1,-1.5,-2.45,SUCCEEDED,78.39,18.52,70
A*,10,2,3.2,4.0,SUCCEEDED,65.47,13.23,63

Hybrid,1,1,-1.5,-2.45,SUCCEEDED,65.83,17.33,62
Hybrid,1,2,3.2,4.0,SUCCEEDED,46.33,12.13,44
Hybrid,2,1,-1.5,-2.45,SUCCEEDED,66.47,17.12,63
Hybrid,2,2,3.2,4.0,SUCCEEDED,44.24,11.87,42
Hybrid,3,1,-1.5,-2.45,SUCCEEDED,63.66,17.05,60
Hybrid,3,2,3.2,4.0,SUCCEEDED,45.65,12.02,44
Hybrid,4,1,-1.5,-2.45,SUCCEEDED,65.90,17.16,63
Hybrid,4,2,3.2,4.0,SUCCEEDED,43.45,12.01,41
Hybrid,5,1,-1.5,-2.45,SUCCEEDED,64.24,17.15,61
Hybrid,5,2,3.2,4.0,SUCCEEDED,56.22,11.90,54
Hybrid,6,1,-1.5,-2.45,SUCCEEDED,67.94,17.37,64
Hybrid,6,2,3.2,4.0,SUCCEEDED,44.16,11.93,42
Hybrid,7,1,-1.5,-2.45,SUCCEEDED,64.08,17.20,62
Hybrid,7,2,3.2,4.0,SUCCEEDED,47.00,11.97,46
Hybrid,8,1,-1.5,-2.45,SUCCEEDED,83.22,17.22,79
Hybrid,8,2,3.2,4.0,SUCCEEDED,48.94,11.96,47
Hybrid,9,1,-1.5,-2.45,SUCCEEDED,66.99,17.53,64
Hybrid,9,2,3.2,4.0,SUCCEEDED,42.63,11.93,41
Hybrid,10,1,-1.5,-2.45,SUCCEEDED,66.02,17.29,63
Hybrid,10,2,3.2,4.0,SUCCEEDED,58.54,11.86,56
