Algorithm,Trial,Waypoint,Waypoint_coords,Status,Time_s,PathLength_m,Replans
Dijkstra,1,1,"(10.0,-3.04,0.0)",SUCCEEDED,121.87,31.04,100
Dijkstra,1,2,"(-1.70,-0.5,0.0)",SUCCEEDED,57.33,18.84,56
Dijkstra,1,3,"(5.0,7.0,0.0)",FAILED,17.16,0.33,0
Dijkstra,2,1,"(10.0,-3.04,0.0)",SUCCEEDED,85.81,29.22,83
Dijkstra,2,2,"(-1.70,-0.5,0.0)",SUCCEEDED,52.09,18.57,50
Dijkstra,2,3,"(5.0,7.0,0.0)",FAILED,17.18,0.32,0
Dijkstra,3,1,"(10.0,-3.04,0.0)",SUCCEEDED,89.35,29.80,87
Dijkstra,3,2,"(-1.70,-0.5,0.0)",SUCCEEDED,56.29,18.88,54
Dijkstra,3,3,"(5.0,7.0,0.0)",FAILED,17.82,0.33,0
Dijkstra,4,1,"(10.0,-3.04,0.0)",SUCCEEDED,87.18,29.54,84
Dijkstra,4,2,"(-1.70,-0.5,0.0)",SUCCEEDED,56.83,18.83,56
Dijkstra,4,3,"(5.0,7.0,0.0)",FAILED,17.13,0.33,0
Dijkstra,5,1,"(10.0,-3.04,0.0)",SUCCEEDED,86.80,29.27,84
Dijkstra,5,2,"(-1.70,-0.5,0.0)",SUCCEEDED,56.98,18.86,55
Dijkstra,5,3,"(5.0,7.0,0.0)",FAILED,17.96,0.33,0
Dijkstra,6,1,"(10.0,-3.04,0.0)",SUCCEEDED,107.37,31.60,104
Dijkstra,6,2,"(-1.70,-0.5,0.0)",SUCCEEDED,62.46,18.91,60
Dijkstra,6,3,"(5.0,7.0,0.0)",FAILED,17.13,0.32,0
Dijkstra,7,1,"(10.0,-3.04,0.0)",SUCCEEDED,86.56,29.38,84
Dijkstra,7,2,"(-1.70,-0.5,0.0)",SUCCEEDED,57.20,18.86,55
Dijkstra,7,3,"(5.0,7.0,0.0)",FAILED,17.70,0.33,0
Dijkstra,8,1,"(10.0,-3.04,0.0)",SUCCEEDED,87.48,29.33,85
Dijkstra,8,2,"(-1.70,-0.5,0.0)",SUCCEEDED,61.14,18.90,59
Dijkstra,8,3,"(5.0,7.0,0.0)",FAILED,19.52,0.33,0
Dijkstra,9,1,"(10.0,-3.04,0.0)",SUCCEEDED,84.51,29.32,82
Dijkstra,9,2,"(-1.70,-0.5,0.0)",SUCCEEDED,54.66,18.77,53
Dijkstra,9,3,"(5.0,7.0,0.0)",FAILED,22.34,0.33,0
Dijkstra,10,1,"(10.0,-3.04,0.0)",SUCCEEDED,84.91,29.36,82
Dijkstra,10,2,"(-1.70,-0.5,0.0)",SUCCEEDED,58.65,19.05,57
Dijkstra,10,3,"(5.0,7.0,0.0)",FAILED,15.71,0.32,0

Astar,1,1,"(10.0,-3.04,0.0)",SUCCEEDED,94.12,29.97,91
Astar,1,2,"(-1.70,-0.5,0.0)",SUCCEEDED,56.73,18.68,55
Astar,1,3,"(5.0,7.0,0.0)",FAILED,17.83,0.32,0
Astar,2,1,"(10.0,-3.04,0.0)",SUCCEEDED,79.39,28.06,77
Astar,2,2,"(-1.70,-0.5,0.0)",SUCCEEDED,57.21,18.92,55
Astar,2,3,"(5.0,7.0,0.0)",FAILED,22.05,0.33,0
Astar,3,1,"(10.0,-3.04,0.0)",SUCCEEDED,98.88,30.14,96
Astar,3,2,"(-1.70,-0.5,0.0)",SUCCEEDED,57.67,18.79,56
Astar,3,3,"(5.0,7.0,0.0)",FAILED,17.45,0.32,0
Astar,4,1,"(10.0,-3.04,0.0)",SUCCEEDED,90.53,29.90,88
Astar,4,2,"(-1.70,-0.5,0.0)",SUCCEEDED,55.89,18.74,54
Astar,4,3,"(5.0,7.0,0.0)",FAILED,16.94,0.33,0
Astar,5,1,"(10.0,-3.04,0.0)",SUCCEEDED,83.24,29.65,81
Astar,5,2,"(-1.70,-0.5,0.0)",SUCCEEDED,55.98,18.73,54
Astar,5,3,"(5.0,7.0,0.0)",FAILED,17.64,0.33,0
Astar,6,1,"(10.0,-3.04,0.0)",SUCCEEDED,90.69,29.86,88
Astar,6,2,"(-1.70,-0.5,0.0)",SUCCEEDED,56.45,18.80,55
Astar,6,3,"(5.0,7.0,0.0)",FAILED,16.98,0.33,0
Astar,7,1,"(10.0,-3.04,0.0)",SUCCEEDED,96.14,30.00,93
Astar,7,2,"(-1.70,-0.5,0.0)",SUCCEEDED,56.24,18.63,54
Astar,7,3,"(5.0,7.0,0.0)",FAILED,17.38,0.33,0
Astar,8,1,"(10.0,-3.04,0.0)",SUCCEEDED,87.34,29.71,85
Astar,8,2,"(-1.70,-0.5,0.0)",SUCCEEDED,58.28,18.81,56
Astar,8,3,"(5.0,7.0,0.0)",FAILED,21.66,0.33,0
Astar,9,1,"(10.0,-3.04,0.0)",SUCCEEDED,88.54,29.87,86
Astar,9,2,"(-1.70,-0.5,0.0)",SUCCEEDED,54.29,18.68,52
Astar,9,3,"(5.0,7.0,0.0)",FAILED,17.55,0.33,0
Astar,10,1,"(10.0,-3.04,0.0)",SUCCEEDED,89.77,29.87,87
Astar,10,2,"(-1.70,-0.5,0.0)",SUCCEEDED,57.29,18.69,55
Astar,10,3,"(5.0,7.0,0.0)",FAILED,17.30,0.33,0

Hybrid,1,1,"(10.0,-3.04,0.0)",FAILED,16.90,6.92,13
Hybrid,1,2,"(-1.70,-0.5,0.0)",SUCCEEDED,81.09,36.07,69
Hybrid,1,3,"(5.0,7.0,0.0)",FAILED,71.49,0.33,0
Hybrid,2,1,"(10.0,-3.04,0.0)",FAILED,19.03,7.05,15
Hybrid,2,2,"(-1.70,-0.5,0.0)",SUCCEEDED,80.25,36.19,68
Hybrid,2,3,"(5.0,7.0,0.0)",FAILED,67.59,0.33,0
Hybrid,3,1,"(10.0,-3.04,0.0)",SUCCEEDED,62.63,25.77,57
Hybrid,3,2,"(-1.70,-0.5,0.0)",SUCCEEDED,43.62,17.87,40
Hybrid,3,3,"(5.0,7.0,0.0)",FAILED,72.91,0.32,0
Hybrid,4,1,"(10.0,-3.04,0.0)",SUCCEEDED,67.09,25.92,61
Hybrid,4,2,"(-1.70,-0.5,0.0)",SUCCEEDED,43.44,17.82,40
Hybrid,4,3,"(5.0,7.0,0.0)",FAILED,72.49,0.33,0
Hybrid,5,1,"(10.0,-3.04,0.0)",SUCCEEDED,62.01,25.76,57
Hybrid,5,2,"(-1.70,-0.5,0.0)",SUCCEEDED,43.76,17.94,41
Hybrid,5,3,"(5.0,7.0,0.0)",FAILED,72.16,0.33,0
Hybrid,6,1,"(10.0,-3.04,0.0)",SUCCEEDED,62.88,25.86,57
Hybrid,6,2,"(-1.70,-0.5,0.0)",SUCCEEDED,43.99,17.99,41
Hybrid,6,3,"(5.0,7.0,0.0)",FAILED,80.16,0.33,0
Hybrid,7,1,"(10.0,-3.04,0.0)",SUCCEEDED,61.98,25.85,56
Hybrid,7,2,"(-1.70,-0.5,0.0)",SUCCEEDED,44.05,17.75,41
Hybrid,7,3,"(5.0,7.0,0.0)",FAILED,74.67,0.33,0
Hybrid,8,1,"(10.0,-3.04,0.0)",FAILED,17.19,6.95,13
Hybrid,8,2,"(-1.70,-0.5,0.0)",SUCCEEDED,79.86,36.28,68
Hybrid,8,3,"(5.0,7.0,0.0)",FAILED,72.01,0.32,0
Hybrid,9,1,"(10.0,-3.04,0.0)",SUCCEEDED,62.25,25.84,57
Hybrid,9,2,"(-1.70,-0.5,0.0)",SUCCEEDED,43.09,17.81,40
Hybrid,9,3,"(5.0,7.0,0.0)",FAILED,72.10,0.33,0
Hybrid,10,1,"(10.0,-3.04,0.0)",SUCCEEDED,61.96,25.88,57
Hybrid,10,2,"(-1.70,-0.5,0.0)",SUCCEEDED,43.58,17.88,41
Hybrid,10,3,"(5.0,7.0,0.0)",FAILED,70.89,0.33,0
