Algorithm,Cycle,Waypoint,Goal,Status,Time Taken (s),Path Length (m),Replans
Dijkstra,Cycle 1,Waypoint 1,"-0.5, -1.5",SUCCEEDED,47.03,12.89,46
Dijkstra,Cycle 1,Waypoint 2,"3.2, 3.95",SUCCEEDED,67.96,16.94,67
Dijkstra,Cycle 2,Waypoint 1,"-0.5, -1.5",SUCCEEDED,44.0,12.73,43
Dijkstra,Cycle 2,Waypoint 2,"3.2, 3.95",SUCCEEDED,74.63,16.87,75
Dijkstra,Cycle 3,Waypoint 1,"-0.5, -1.5",SUCCEEDED,45.06,12.86,44
Dijkstra,Cycle 3,Waypoint 2,"3.2, 3.95",SUCCEEDED,102.25,17.39,99
Dijkstra,Cycle 4,Waypoint 1,"-0.5, -1.5",SUCCEEDED,43.78,12.75,42
Dijkstra,Cycle 4,Waypoint 2,"3.2, 3.95",SUCCEEDED,71.38,17.07,70
Dijkstra,Cycle 5,Waypoint 1,"-0.5, -1.5",SUCCEEDED,45.01,12.8,44
Dijkstra,Cycle 5,Waypoint 2,"3.2, 3.95",SUCCEEDED,69.7,16.97,69
Dijkstra,Cycle 6,Waypoint 1,"-0.5, -1.5",SUCCEEDED,45.29,12.79,45
Dijkstra,Cycle 6,Waypoint 2,"3.2, 3.95",SUCCEEDED,70.86,16.96,69
Dijkstra,Cycle 7,Waypoint 1,"-0.5, -1.5",SUCCEEDED,46.48,12.74,46
Dijkstra,Cycle 7,Waypoint 2,"3.2, 3.95",SUCCEEDED,135.32,17.46,126
Dijkstra,Cycle 8,Waypoint 1,"-0.5, -1.5",SUCCEEDED,44.77,12.72,44
Dijkstra,Cycle 8,Waypoint 2,"3.2, 3.95",SUCCEEDED,103.76,17.41,100
Dijkstra,Cycle 9,Waypoint 1,"-0.5, -1.5",SUCCEEDED,45.72,12.84,45
Dijkstra,Cycle 9,Waypoint 2,"3.2, 3.95",SUCCEEDED,70.36,16.96,69
Dijkstra,Cycle 10,Waypoint 1,"-0.5, -1.5",SUCCEEDED,46.71,12.78,46
Dijkstra,Cycle 10,Waypoint 2,"3.2, 3.95",SUCCEEDED,70.65,17.06,69
A*,Cycle 1,Waypoint 1,"-0.5, -1.5",SUCCEEDED,101.49,13.39,98
A*,Cycle 1,Waypoint 2,"3.2, 3.95",SUCCEEDED,71.25,17.37,70
A*,Cycle 2,Waypoint 1,"-0.5, -1.5",SUCCEEDED,46.41,12.96,45
A*,Cycle 2,Waypoint 2,"3.2, 3.95",SUCCEEDED,68.71,17.37,67
A*,Cycle 3,Waypoint 1,"-0.5, -1.5",SUCCEEDED,101.03,13.39,98
