Planner,Cycle,Waypoint,Goal,Status,Time Taken (s),Path Length (m),Replans,Feedback
Default,Cycle 1,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,31.60,6.95,31,
Default,Cycle 1,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,22.40,5.47,21,
Default,Cycle 1,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,16.14,3.10,16,
Default,Cycle 2,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,41.98,7.14,40,
Default,Cycle 2,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,108.57,7.40,99,
Default,Cycle 2,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,20.94,3.27,18,
Default,Cycle 3,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,33.84,7.13,33,
Default,Cycle 3,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,19.26,5.58,18,
Default,Cycle 3,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,14.99,3.00,14,
Default,Cycle 4,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,33.84,7.14,34,
Default,Cycle 4,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,76.79,6.32,74,
Default,Cycle 4,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,15.54,3.07,15,
Default,Cycle 5,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,40.09,7.19,39,
Default,Cycle 5,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,30.62,5.62,30,
Default,Cycle 5,Waypoint 3,"(-1.51, 1.84)",FAILED,41.67,3.60,19,"nav2_msgs.action.NavigateToPose_Feedback(current_pose=geometry_msgs.msg.PoseStamped(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=108, nanosec=80000000), frame_id='map'), pose=geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=-1.7527587251777996, y=1.001851560280043, z=0.01), orientation=geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9895506515247774, w=0.14418567219695783))), navigation_time=builtin_interfaces.msg.Duration(sec=36, nanosec=778000000), estimated_time_remaining=builtin_interfaces.msg.Duration(sec=0, nanosec=0), number_of_recoveries=17, distance_remaining=0.0)"
Default,Cycle 6,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,32.00,7.24,31,
Default,Cycle 6,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,28.38,5.54,28,
Default,Cycle 6,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,16.79,3.23,16,
Default,Cycle 7,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,34.41,7.27,33,
Default,Cycle 7,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,20.37,5.54,19,
Default,Cycle 7,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,15.99,3.13,16,
Default,Cycle 8,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,30.50,6.88,30,
Default,Cycle 8,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,24.49,5.63,23,
Default,Cycle 8,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,15.70,3.10,15,
Default,Cycle 9,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,30.84,6.89,30,
Default,Cycle 9,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,21.20,5.53,21,
Default,Cycle 9,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,19.10,3.08,18,
Default,Cycle 10,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,33.87,7.29,33,
Default,Cycle 10,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,26.70,5.80,26,
Default,Cycle 10,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,15.95,3.16,16,
A*,Cycle 1,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,24.99,6.99,24,
A*,Cycle 1,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,18.90,5.47,18,
A*,Cycle 1,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,13.04,3.21,12,
A*,Cycle 2,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,25.59,7.00,25,
A*,Cycle 2,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,18.70,5.58,18,
A*,Cycle 2,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,14.11,3.17,13,
A*,Cycle 3,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,24.10,6.97,23,
A*,Cycle 3,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,18.88,5.55,18,
A*,Cycle 3,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,13.46,3.15,13,
A*,Cycle 4,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,24.80,7.05,24,
A*,Cycle 4,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,20.08,5.42,19,
A*,Cycle 4,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,13.30,3.17,13,
A*,Cycle 5,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,24.41,7.12,24,
A*,Cycle 5,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,18.84,5.54,18,
A*,Cycle 5,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,12.63,3.07,12,
A*,Cycle 6,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,24.58,7.12,23,
A*,Cycle 6,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,18.64,5.58,18,
A*,Cycle 6,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,13.46,3.23,13,
A*,Cycle 7,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,25.30,7.02,24,
A*,Cycle 7,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,18.82,5.64,18,
A*,Cycle 7,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,13.45,3.04,13,
A*,Cycle 8,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,25.31,7.08,24,
A*,Cycle 8,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,20.03,5.64,19,
A*,Cycle 8,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,13.03,3.08,12,
A*,Cycle 9,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,24.85,7.06,24,
A*,Cycle 9,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,19.23,5.60,19,
A*,Cycle 9,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,13.22,3.05,12,
A*,Cycle 10,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,25.05,7.00,25,
A*,Cycle 10,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,22.16,5.70,21,
A*,Cycle 10,Waypoint 3,"(-1.51, 1.84)",SUCCEEDED,13.29,3.14,13,
Hybrid,Cycle 1,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,20.65,6.52,20,
Hybrid,Cycle 1,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,13.44,5.19,13,
Hybrid,Cycle 1,Waypoint 3,"(-1.51, 1.84)",FAILED,42.39,3.47,9,"nav2_msgs.action.NavigateToPose_Feedback(current_pose=geometry_msgs.msg.PoseStamped(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=95, nanosec=240000000), frame_id='map'), pose=geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=-2.2771491262937253, y=1.4922664080098937, z=0.01), orientation=geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.536087101322789, w=0.8441626737752206))), navigation_time=builtin_interfaces.msg.Duration(sec=40, nanosec=925000000), estimated_time_remaining=builtin_interfaces.msg.Duration(sec=0, nanosec=0), number_of_recoveries=16, distance_remaining=0.0)"
Hybrid,Cycle 2,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,21.29,6.49,20,
Hybrid,Cycle 2,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,13.89,5.20,13,
Hybrid,Cycle 2,Waypoint 3,"(-1.51, 1.84)",FAILED,38.96,3.12,6,"nav2_msgs.action.NavigateToPose_Feedback(current_pose=geometry_msgs.msg.PoseStamped(header=std_interfaces.msg.Time(sec=93, nanosec=0), frame_id='map'), pose=geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=-2.076312549857242, y=1.1303010344426336, z=0.01), orientation=geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9988284274428664, w=0.04839186431633688))), navigation_time=builtin_interfaces.msg.Duration(sec=37, nanosec=580000000), estimated_time_remaining=builtin_interfaces.msg.Duration(sec=0, nanosec=0), number_of_recoveries=19, distance_remaining=0.0)"
Hybrid,Cycle 3,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,20.85,6.57,20,
Hybrid,Cycle 3,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,16.19,5.22,16,
Hybrid,Cycle 3,Waypoint 3,"(-1.51, 1.84)",FAILED,33.04,2.93,6,"nav2_msgs.action.NavigateToPose_Feedback(current_pose=geometry_msgs.msg.PoseStamped(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=89, nanosec=0), frame_id='map'), pose=geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=-1.8274690926586195, y=1.0403582326131533, z=0.01), orientation=geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9761046865331395, w=-0.2173008074721343))), navigation_time=builtin_interfaces.msg.Duration(sec=31, nanosec=789000000), estimated_time_remaining=builtin_interfaces.msg.Duration(sec=0, nanosec=0), number_of_recoveries=15, distance_remaining=0.0)"
Hybrid,Cycle 4,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,21.05,6.53,21,
Hybrid,Cycle 4,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,13.41,5.17,12,
Hybrid,Cycle 4,Waypoint 3,"(-1.51, 1.84)",FAILED,36.60,2.97,7,"nav2_msgs.action.NavigateToPose_Feedback(current_pose=geometry_msgs.msg.PoseStamped(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=90, nanosec=440000000), frame_id='map'), pose=geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=-1.9651972813073593, y=1.0037768747365765, z=0.009999999999999998), orientation=geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=0.9930628693308657, w=-0.11758459744519316))), navigation_time=builtin_interfaces.msg.Duration(sec=35, nanosec=397000000), estimated_time_remaining=builtin_interfaces.msg.Duration(sec=0, nanosec=0), number_of_recoveries=19, distance_remaining=0.0)"
Hybrid,Cycle 5,Waypoint 1,"(-2.0, -4.0)",SUCCEEDED,20.93,6.47,20,
Hybrid,Cycle 5,Waypoint 2,"(-4.0, 0.17)",SUCCEEDED,14.08,5.27,13,
Hybrid,Cycle 5,Waypoint 3,"(-1.51, 1.84)",FAILED,42.35,3.15,6,"nav2_msgs.action.NavigateToPose_Feedback(current_pose=geometry_msgs.msg.PoseStamped(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=95, nanosec=440000000), frame_id='map'), pose=geometry_msgs.msg.Pose(position=geometry_msgs.msg.Point(x=-1.7477183112287906, y=1.680040223653918, z=0.010000000000000004), orientation=geometry_msgs.msg.Quaternion(x=0.0, y=0.0, z=-0.8548459445696531, w=0.518881885454501))), navigation_time=builtin_interfaces.msg.Duration(sec=40, nanosec=479000000), estimated_time_remaining=builtin_interfaces.msg.Duration(sec=0, nanosec=0), number_of_recoveries=20, distance_remaining=0.0)"
