Algorithm,Cycle,Waypoint,Goal Coordinates,Status,Time Taken (seconds),Path Length (meters),Replans
Dijkstra,Cycle 1,Waypoint 1,"2.66, 3.01",SUCCEEDED,45.00,16.10,43
Dijkstra,Cycle 1,Waypoint 2,"-3.99, -4.0",SUCCEEDED,43.92,15.83,43
Dijkstra,Cycle 1,Waypoint 3,"0.0, 0.0",SUCCEEDED,27.74,10.98,27
Dijkstra,Cycle 2,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.86,16.05,43
Dijkstra,Cycle 2,Waypoint 2,"-3.99, -4.0",SUCCEEDED,42.26,15.71,41
Dijkstra,Cycle 2,Waypoint 3,"0.0, 0.0",SUCCEEDED,27.99,11.13,27
Dijkstra,Cycle 3,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.41,16.27,42
Dijkstra,Cycle 3,Waypoint 2,"-3.99, -4.0",SUCCEEDED,39.55,15.97,38
Dijkstra,Cycle 3,Waypoint 3,"0.0, 0.0",SUCCEEDED,27.97,11.11,27
Dijkstra,Cycle 4,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.54,16.23,43
Dijkstra,Cycle 4,Waypoint 2,"-3.99, -4.0",SUCCEEDED,39.66,15.88,38
Dijkstra,Cycle 4,Waypoint 3,"0.0, 0.0",SUCCEEDED,30.45,11.12,30
Dijkstra,Cycle 5,Waypoint 1,"2.66, 3.01",SUCCEEDED,46.68,16.14,46
Dijkstra,Cycle 5,Waypoint 2,"-3.99, -4.0",SUCCEEDED,39.46,15.84,38
Dijkstra,Cycle 5,Waypoint 3,"0.0, 0.0",SUCCEEDED,27.46,11.28,27
Dijkstra,Cycle 6,Waypoint 1,"2.66, 3.01",SUCCEEDED,47.83,16.26,47
Dijkstra,Cycle 6,Waypoint 2,"-3.99, -4.0",SUCCEEDED,43.31,15.97,43
Dijkstra,Cycle 6,Waypoint 3,"0.0, 0.0",SUCCEEDED,30.36,11.12,30
Dijkstra,Cycle 7,Waypoint 1,"2.66, 3.01",SUCCEEDED,44.04,16.38,43
Dijkstra,Cycle 7,Waypoint 2,"-3.99, -4.0",SUCCEEDED,41.26,15.96,41
Dijkstra,Cycle 7,Waypoint 3,"0.0, 0.0",SUCCEEDED,30.42,11.28,29
Dijkstra,Cycle 8,Waypoint 1,"2.66, 3.01",SUCCEEDED,47.36,16.05,47
Dijkstra,Cycle 8,Waypoint 2,"-3.99, -4.0",SUCCEEDED,39.36,15.83,38
Dijkstra,Cycle 8,Waypoint 3,"0.0, 0.0",SUCCEEDED,27.51,11.09,27
Dijkstra,Cycle 9,Waypoint 1,"2.66, 3.01",SUCCEEDED,47.17,16.10,46
Dijkstra,Cycle 9,Waypoint 2,"-3.99, -4.0",SUCCEEDED,42.85,15.92,42
Dijkstra,Cycle 9,Waypoint 3,"0.0, 0.0",SUCCEEDED,29.99,10.98,30
Dijkstra,Cycle 10,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.71,16.31,43
Dijkstra,Cycle 10,Waypoint 2,"-3.99, -4.0",SUCCEEDED,40.65,15.95,40
Dijkstra,Cycle 10,Waypoint 3,"0.0, 0.0",SUCCEEDED,31.38,11.21,31
A*,Cycle 1,Waypoint 1,"2.66, 3.01",SUCCEEDED,43.66,16.25,43
A*,Cycle 1,Waypoint 2,"-3.99, -4.0",SUCCEEDED,41.81,15.84,41
